,GeoName,IndustryClassification,Description,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
3482,"Seattle-Tacoma-Bellevue, WA",11,"  Agriculture, forestry, fishing, and hunting",972.2,961.1,843.5,608.7,495.2,472.2,458.1,532.1,648.7,606.3,510.3
3485,"Seattle-Tacoma-Bellevue, WA",21,"  Mining, quarrying, and oil and gas extraction",306.1,207.1,359.3,458.7,502.6,447.8,323.0,359.9,340.1,334.7,309.2
3489,"Seattle-Tacoma-Bellevue, WA",22,  Utilities,1811.7,1872.1,1386.0,1572.5,1677.6,1542.6,1548.4,1471.1,1447.3,1748.5,1899.9
3490,"Seattle-Tacoma-Bellevue, WA",23,  Construction,12038.4,11111.0,8883.0,7407.1,7041.2,7511.6,8750.5,9463.0,10175.1,10854.8,11128.5
3491,"Seattle-Tacoma-Bellevue, WA",31-33,  Manufacturing,36382.0,35340.3,34921.3,36673.1,37157.4,38399.6,39203.1,40067.5,40787.7,38654.0,37940.8
3513,"Seattle-Tacoma-Bellevue, WA",42,  Wholesale trade,15476.6,15434.4,13541.6,14024.7,14219.6,14389.3,14782.1,15277.9,15881.3,16162.6,17060.4
3514,"Seattle-Tacoma-Bellevue, WA",44-45,  Retail trade,14618.0,14335.7,13733.6,14609.5,15353.6,16525.6,18179.4,19861.2,21916.2,24885.0,30558.3
3515,"Seattle-Tacoma-Bellevue, WA",48-49,  Transportation and warehousing,7058.7,6938.8,6791.5,7206.7,7380.2,7407.3,7520.6,7463.0,7565.4,7978.8,8224.5
3524,"Seattle-Tacoma-Bellevue, WA",51,  Information,30212.1,30955.4,29262.7,28646.4,30910.2,35231.3,35780.4,37957.7,42353.9,46980.8,51877.4
3529,"Seattle-Tacoma-Bellevue, WA","52, 53","  Finance, insurance, real estate, rental, and leasing",47291.4,48281.1,47584.5,47049.8,46533.2,47920.6,48341.3,50258.8,52496.7,53173.6,54104.0
3530,"Seattle-Tacoma-Bellevue, WA",52,   Finance and insurance,10465.2,9968.8,10568.8,9842.7,9635.3,9786.9,9304.0,9597.7,10117.8,10289.8,10319.1
3535,"Seattle-Tacoma-Bellevue, WA",53,   Real estate and rental and leasing,36792.4,38349.6,37015.7,37220.3,36915.9,38161.3,39117.0,40752.9,42462.3,42961.9,43889.0
3538,"Seattle-Tacoma-Bellevue, WA","54, 55, 56",  Professional and business services,27194.6,28191.2,26031.9,27286.3,28378.7,30012.1,31379.4,32521.7,33274.9,34864.8,36520.5
3539,"Seattle-Tacoma-Bellevue, WA",54,"   Professional, scientific, and technical services",16806.4,17888.6,16672.8,17125.6,17657.7,18482.5,19317.3,20018.3,20434.1,21642.9,22736.8
3540,"Seattle-Tacoma-Bellevue, WA",55,   Management of companies and enterprises,3961.7,3862.4,3459.4,3895.0,4026.7,4445.8,4637.9,4898.7,5030.3,5303.2,5324.1
3541,"Seattle-Tacoma-Bellevue, WA",56,   Administrative and support and waste management and remediation services,6432.5,6441.3,5899.6,6266.9,6699.4,7092.2,7433.3,7616.0,7823.7,7936.2,8456.7
3544,"Seattle-Tacoma-Bellevue, WA","61, 62","  Educational services, health care, and social assistance",12797.1,13812.4,14127.0,14331.8,14649.1,15247.3,15622.9,16065.5,16794.5,17694.2,18460.1
3545,"Seattle-Tacoma-Bellevue, WA",61,   Educational services,1179.0,1250.9,1272.3,1292.8,1306.6,1320.0,1319.3,1342.4,1318.8,1314.1,1329.3
3546,"Seattle-Tacoma-Bellevue, WA",62,   Health care and social assistance,11618.4,12561.5,12854.6,13038.9,13342.6,13928.5,14306.6,14727.3,15487.7,16400.8,17157.4
3550,"Seattle-Tacoma-Bellevue, WA","71, 72","  Arts, entertainment, recreation, accommodation, and food services",8309.9,8071.5,7348.3,7738.3,8080.6,8151.1,8732.0,8996.6,9461.6,9639.4,10445.3
3551,"Seattle-Tacoma-Bellevue, WA",71,"   Arts, entertainment, and recreation",2256.3,2230.2,2022.2,2037.8,2049.2,2053.7,2374.1,2419.6,2290.1,2243.1,2428.2
3554,"Seattle-Tacoma-Bellevue, WA",72,   Accommodation and food services,6054.9,5841.2,5326.1,5700.3,6031.0,6096.9,6360.4,6578.8,7165.3,7386.6,8006.5
3557,"Seattle-Tacoma-Bellevue, WA",81,  Other services (except government and government enterprises),4731.3,4640.4,4384.4,4371.0,4445.4,4594.3,4692.2,4672.5,4773.8,4941.3,5014.5
3562,"Seattle-Tacoma-Bellevue, WA","11, 21",Natural resources and mining,1275.8,1178.3,1202.8,1069.3,1001.7,923.4,786.7,899.2,1004.1,954.3,829.6
3563,"Seattle-Tacoma-Bellevue, WA","42, 44-45",Trade,30081.7,29750.4,27275.3,28632.7,29567.0,30898.4,32931.2,35095.9,37740.4,40963.9,47470.4
3569,"Tampa-St. Petersburg-Clearwater, FL",11,"  Agriculture, forestry, fishing, and hunting",464.3,470.0,,,359.6,326.7,296.2,312.7,359.3,387.7,349.3
3572,"Tampa-St. Petersburg-Clearwater, FL",21,"  Mining, quarrying, and oil and gas extraction",125.9,247.8,,,210.5,241.4,30.9,167.0,81.3,143.2,82.2
3576,"Tampa-St. Petersburg-Clearwater, FL",22,  Utilities,,2726.6,2657.1,2689.3,2773.4,2540.9,2673.1,3017.4,2803.9,2918.1,2412.3
3577,"Tampa-St. Petersburg-Clearwater, FL",23,  Construction,7553.8,6688.3,5248.9,4023.6,3851.7,4627.8,4412.5,4731.0,5182.8,5582.8,5691.8
